Name,Roll No,Course,Department,Year of Admission,Email ID
Sarah Johnson,ENG19A001,Engineering,Mechanical,2019,sarah.johnson@university.edu
Alex Smith,SCI20B002,Science,Chemistry,2020,alex.smith@university.edu
Emily Brown,LAW21C003,Law,Legal Studies,2021,emily.brown@university.edu
John Davis,MED19D004,Medicine,Neurology,2019,john.davis@university.edu
Lucy Kim,BUS22E005,Business,Finance,2022,lucy.kim@university.edu
Joshua Lee,ENG20A006,Engineering,Electrical,2020,joshua.lee@university.edu
Olivia Johnson,SCI19B007,Science,Physics,2019,olivia.johnson@university.edu
Avery Hernandez,LAW20C008,Law,International Law,2020,avery.hernandez@university.edu
Ethan Jones,MED21D009,Medicine,Cardiology,2021,ethan.jones@university.edu
Sophia Davis,BUS22E010,Business,Marketing,2022,sophia.davis@university.edu
Logan Brown,ENG19A011,Engineering,Civil,2019,logan.brown@university.edu
Chloe Smith,SCI20B012,Science,Biology,2020,chloe.smith@university.edu
Benjamin Hernandez,LAW21C013,Law,Taxation,2021,benjamin.hernandez@university.edu
Emma Davis,MED19D014,Medicine,Dermatology,2019,emma.davis@university.edu
Mia Lee,BUS22E015,Business,Human Resources,2022,mia.lee@university.edu
Daniel Johnson,ENG20A016,Engineering,Mechanical,2020,daniel.johnson@university.edu
Evelyn Hernandez,SCI19B017,Science,Physics,2019,evelyn.hernandez@university.edu
Michael Davis,LAW20C018,Law,Criminal Law,2020,michael.davis@university.edu
Isabella Brown,MED21D019,Medicine,Neurology,2021,isabella.brown@university.edu
William Kim,BUS22E020,Business,Finance,2022,william.kim@university.edu
Ava Smith,ENG19A021,Engineering,Electrical,2019,ava.smith@university.edu
Noah Lee,SCI20B022,Science,Chemistry,2020,noah.lee@university.edu
Victoria Hernandez,LAW21C023,Law,International Law,2021,victoria.hernandez@university.edu
Jacob Davis,MED19D024,Medicine,Cardiology,2019,jacob.davis@university.edu
Samantha Johnson,BUS22E025,Business,Marketing,2022,samantha.johnson@university.edu
Alexander Brown,ENG20A026,Engineering,Civil,2020,alexander.brown@university.edu
Madison Smith,SCI19B027,Science,Biology,2019,madison.smith@university.edu
Christopher Hernandez,LAW20C028,Law,Taxation,2020,christopher.hernandez@university.edu
Abigail Davis,MED21D029,Medicine,Dermatology,2021,abigail.davis@university.edu
